architecture,algorithm,compiler,optimization,filename,function_name,function_address,label,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexicity_density,unique_ngram_count
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,register_tm_clones,100730,Non-Crypto,4,5,3,0,0,0,3.75,1,5,2,3,0,0,15,0.946668011,0.10515873,8,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,0,6,4,8,0.037037037,4.481714573,2.646157985,0.2,13
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,__do_global_dtors_aux,0010075c,Non-Crypto,5,8,5,1,1,0.125,4,2,7,2,6,1,0,20,1.567499428,0.068253968,16,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,1,0,16,3,3,14,0.166666667,5.055751254,2.311358185,0.25,18
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,init_demo_curve,100798,ECC,1,0,1,0,0,0,12,1,1,0,0,0,0,12,1.082426004,0,10,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,7,0.233333333,3.842370993,1.643346334,0.083333333,7
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,point_double,001007b4,ECC,5,20,17,0,0,0,18.2,1,10,3,17,0,0,91,1.219018103,0.067552483,98,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,26,13,53,0.10619469,5.297205781,2.04852078,0.186813187,30
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,point_infinity,001008aa,ECC,1,0,1,0,0,0,9,1,1,0,0,0,0,9,1.435510082,0.043478261,8,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,3,0,0,1,1,8,0.260869565,4.277613437,2.212202849,0.111111111,6
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,mod_add,001008c0,ECC,3,3,2,0,0,0,1.666666667,1,3,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,3,0,3.521640636,2.584962501,0.4,4
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,mod_mul,001008ce,ECC,1,1,2,0,0,0,11,0,2,0,1,0,0,11,1.575129401,0.074074074,8,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,2,1,8,0.074074074,4.348394346,2.132193283,0.181818182,10
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,mod_inv,001008ec,ECC,5,7,4,0,0,0,4,1,6,2,5,0,0,20,0.682033231,0.016666667,14,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,2,1,11,0.11627907,4.91856294,2.192606588,0.2,19
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,mod_sub,0010091e,ECC,3,2,1,0,0,0,3,2,3,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,6,0,3.84441383,2.170950594,0.111111111,6
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,point_add,0010093c,ECC,12,29,19,16,16,0.551724138,9.333333333,1,18,5,24,16,0,112,1.319439507,0.065580311,114,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,64,26,13,71,0.148409894,5.608605242,2.215547753,0.169642857,45
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,scalar_mul,00100a6a,ECC,6,11,7,5,5,0.454545455,16.16666667,1,7,3,8,5,0,97,1.324117141,0.105006011,64,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,96,34,19,57,0.160377358,6.075678108,2.661387545,0.072164948,53
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,gen_keypair,00100b70,ECC,1,2,3,2,2,1,23,0,3,0,2,2,0,23,1.776518822,0.070175439,22,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,4,2,19,0.140350877,5.006536835,2.128415369,0.130434783,18
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,compute_shared,00100bae,ECC,1,1,2,1,1,1,7,0,2,0,1,1,0,7,1.899752511,0.105263158,6,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,2,1,6,0.105263158,3.530493057,2.168465671,0.285714286,6
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,ecdsa_sign_toy,00100bc0,ECC,8,16,10,9,9,0.5625,9.75,1,7,4,12,9,0,78,1.099540501,0.053125,58,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,10,5,51,0.15,6.179299333,2.295379843,0.128205128,43
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,ecdsa_verify_toy,00100c8c,ECC,7,16,11,6,6,0.375,11.71428571,1,11,4,12,6,0,82,1.021848899,0.078813753,74,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,128,15,7,45,0.115384615,5.84351382,2.183139281,0.134146341,46
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,print_point,00100d64,Non-Crypto,4,6,4,2,2,0.333333333,5.25,1,5,1,5,2,0,21,1.520780387,0.093045113,20,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,2,0,0,6,4,15,0.098039216,4.58119224,2.246722312,0.19047619,16
riscv,Non-Crypto,clang,O1,ecc_riscv_clang_O1.elf,main,00100d9e,Non-Crypto,5,35,32,28,28,0.8,36.8,1,17,2,33,28,0,184,1.23259181,0.097670245,234,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,21,0,0,79,50,149,0.053608247,5.473291544,1.945992694,0.173913043,39
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,point_is_equal,00100fd6,ECC,8,8,2,0,0,0,2.875,4,8,4,4,0,0,23,0.46135243,0.038690476,20,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,0,2,1,7,0.142857143,4.757756064,2.116763443,0.086956522,20
riscv,ECC,clang,O1,ecc_riscv_clang_O1.elf,egcd,0010100a,ECC,4,5,3,1,1,0.2,8.75,1,3,1,4,1,0,35,1.138265148,0.015625,26,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,0,0,48,2,1,23,0.189189189,5.56812612,2.36863718,0.085714286,27
