function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
mbedtls_ssl_cookie_check,00018298,mips,gcc,O2,1,1,0,0,18,31,15,8,8,0.25806451612903225,5.611111111111111,2,24,101,1.1453680009021492,0.09793689402385054,220,13,0.19242902208201892,0.11041009463722397,0.15141955835962145,0.0,0.0,0.0031545741324921135,0,0,108,36,38,64,0.15141955835962145,5.378006047874988,2.340743902818807,0.1485148514851485,61,unknown,9,22,8,0.8387096774193549,unknown,1,unknown
FUN_0001842c,0001842c,mips,gcc,O2,1,1,0,0,11,17,8,3,3,0.17647058823529413,10.181818181818182,1,14,112,1.2149074514215625,0.07259360932295175,226,6,0.24390243902439024,0.04607046070460705,0.17886178861788618,0.0,0.0,0.008130081300813009,0,0,76,20,26,91,0.17886178861788618,5.3238281001446355,2.10361087494372,0.07142857142857142,63,unknown,5,12,3,0.4117647058823529,unknown,1,unknown
FUN_000185ec,000185ec,mips,gcc,O2,1,1,0,0,12,16,6,5,5,0.3125,3.0,3,12,36,0.8166098734797131,0.11388888888888889,102,4,0.14953271028037382,0.07476635514018691,0.11214953271028037,0.0,0.0,0.0,0,0,16,8,8,16,0.11214953271028037,4.0689740259087355,2.0372694844753654,0.16666666666666666,23,unknown,7,9,5,0.0,unknown,1,unknown
mbedtls_ssl_set_timer,0001867c,mips,gcc,O2,1,1,0,0,3,2,1,0,0,0.0,2.6666666666666665,2,3,8,0.8488864996719704,0.3055555555555555,22,0,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.0,0.0,0.07692307692307693,0,0,16,8,12,2,0.07692307692307693,3.5608203810934294,2.430457025500559,0.125,7,unknown,1,1,0,1.0,unknown,1,unknown
mbedtls_ssl_check_timer,0001869c,mips,gcc,O2,1,1,0,0,3,2,1,0,0,0.0,5.333333333333333,2,3,16,0.9355051292808946,0.22916666666666666,42,0,0.15217391304347827,0.1956521739130435,0.08695652173913043,0.021739130434782608,0.0,0.0,0,0,20,9,10,8,0.08695652173913043,4.054635493986807,2.4360914653849655,0.0625,15,unknown,1,1,0,0.0,unknown,1,unknown
mbedtls_ssl_encrypt_buf,000186dc,mips,gcc,O2,1,1,0,0,64,136,74,26,26,0.19117647058823528,7.421875,1,76,475,1.0909085801486291,0.11006117891308591,1090,72,0.21143250688705234,0.10055096418732783,0.15358126721763085,0.0006887052341597796,0.0,0.0006887052341597796,0,0,228,147,150,327,0.15358126721763085,5.70560034661815,2.3054102608005436,0.15578947368421053,168,unknown,45,91,26,0.7941176470588235,unknown,1,unknown
mbedtls_ssl_decrypt_buf,00018e48,mips,gcc,O2,1,1,0,0,87,186,101,32,32,0.17204301075268819,7.988505747126437,1,104,695,1.194242276733521,0.16055552581188196,1636,99,0.19626168224299065,0.11168224299065421,0.15467289719626168,0.003738317757009346,0.0,0.010280373831775701,0,0,376,261,313,452,0.15467289719626168,5.725297752750014,2.40132163002806,0.14532374100719425,190,unknown,55,131,32,1.0,unknown,1,unknown
mbedtls_ssl_flight_free,00019924,mips,gcc,O2,1,1,0,0,5,5,2,0,0,0.0,5.8,2,5,29,1.3197742835189197,0.16522875816993463,68,0,0.2,0.12,0.15,0.0,0.0,0.01,0,0,40,13,15,20,0.15,4.555175445880724,2.2781510924009942,0.06896551724137931,22,unknown,2,3,0,1.4,unknown,1,unknown
mbedtls_ssl_send_flight_completed,00019998,mips,gcc,O2,1,1,0,0,4,5,3,2,2,0.4,8.75,2,5,35,1.2967702114094597,0.05044871794871795,60,1,0.23684210526315788,0.043859649122807015,0.17543859649122806,0.0,0.0,0.008771929824561403,0,0,32,6,8,27,0.17543859649122806,4.980499968294703,2.15437212834126,0.08571428571428572,25,unknown,2,3,2,0.2,unknown,1,unknown
mbedtls_ssl_start_handshake_msg,00019a24,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,11.0,1,1,11,1.0391337780768322,0.07894736842105263,32,0,0.21052631578947367,0.07894736842105263,0.18421052631578946,0.0,0.0,0.0,0,0,16,3,3,8,0.18421052631578946,3.9409601660660853,2.0816047968681923,0.09090909090909091,10,unknown,0,0,0,0.0,unknown,1,unknown
mbedtls_ssl_update_handshake_status,00019a50,mips,gcc,O2,1,1,0,0,9,16,9,3,3,0.1875,8.777777777777779,1,11,79,1.1474523933045877,0.10842599666129077,232,7,0.22377622377622378,0.055944055944055944,0.19230769230769232,0.0,0.0,0.0034965034965034965,0,0,40,17,19,65,0.19230769230769232,5.188882245632183,2.175076503331069,0.11392405063291139,45,unknown,6,10,3,0.5,unknown,1,unknown
mbedtls_ssl_dtls_replay_reset,00019b8c,mips,gcc,O2,1,1,0,0,1,0,1,0,0,0.0,7.0,1,1,7,1.0018437268223102,0.14285714285714285,24,0,0.17857142857142858,0.14285714285714285,0.17857142857142858,0.0,0.0,0.0,0,0,16,4,4,5,0.17857142857142858,3.288450457308289,2.1171764476037533,0.14285714285714285,5,unknown,0,0,0,0.0,unknown,1,unknown
mbedtls_ssl_dtls_replay_check,00019ba8,mips,gcc,O2,1,1,0,0,11,14,5,1,1,0.07142857142857142,5.2727272727272725,4,11,58,0.6418759501769646,0.1800275482093664,98,3,0.09929078014184398,0.16312056737588654,0.09929078014184398,0.0,0.0,0.05673758865248227,0,0,16,31,47,20,0.09929078014184398,4.558638553123546,2.596550118006547,0.08620689655172414,42,unknown,7,7,1,0.42857142857142855,unknown,1,unknown
mbedtls_ssl_dtls_replay_update,00019c90,mips,gcc,O2,1,1,0,0,20,27,9,5,5,0.18518518518518517,4.5,3,20,90,0.6101673024802312,0.22571844821844822,146,7,0.1222707423580786,0.15283842794759825,0.1222707423580786,0.0,0.0,0.05240174672489083,0,0,16,47,71,34,0.1222707423580786,4.813746593745338,2.7010380537093037,0.1,63,unknown,10,17,5,0.37037037037037035,unknown,1,unknown
mbedtls_ssl_update_out_pointers,00019df8,mips,gcc,O2,1,1,0,0,7,7,2,0,0,0.0,5.571428571428571,3,7,39,1.0757698263115674,0.06998264893001735,78,0,0.2463768115942029,0.043478260869565216,0.18115942028985507,0.0,0.0,0.0,0,0,16,6,6,36,0.18115942028985507,4.489227496051141,2.145234146928381,0.05128205128205128,26,unknown,3,4,0,0.0,unknown,1,unknown
