function_name,function_address,architecture,compiler,optimization,has_aes_sbox,rsa_bigint_detected,has_aes_rcon,has_sha_constants,num_basic_blocks,num_edges,cyclomatic_complexity,loop_count,loop_depth,branch_density,average_block_size,num_entry_exit_paths,strongly_connected_components,instruction_count,immediate_entropy,bitwise_op_density,crypto_constant_hits,branch_condition_complexity,add_ratio,logical_ratio,load_store_ratio,xor_ratio,multiply_ratio,rotate_ratio,rodata_refs_count,string_refs_count,stack_frame_size,bitwise_ops,crypto_like_ops,arithmetic_ops,mem_ops_ratio,function_byte_entropy,opcode_entropy,cyclomatic_complexity_density,unique_ngram_count,algorithm,num_conditional_edges,num_unconditional_edges,num_loop_edges,avg_edge_branch_condition_complexplexity,source_file,table_lookup_presence,original_label
mbedtls_ms_time,000482d4,mips,gcc,O2,1,1,0,0,3,4,3,0,0,0.0,18.0,2,5,54,1.5378382804046433,0.17493946731234866,92,1,0.17518248175182483,0.12408759124087591,0.08029197080291971,0.0,0.0364963503649635,0.058394160583941604,0,0,48,25,41,30,0.08029197080291971,5.168813183065568,2.4836916542958827,0.05555555555555555,46,unknown,1,3,0,0.5,unknown,1,unknown
FUN_000483ac,000483ac,mips,gcc,O2,1,1,0,0,3,3,2,0,0,0.0,105.66666666666667,1,3,317,1.2983760006984553,0.06856565290354831,338,0,0.23491655969191272,0.03979460847240052,0.12965340179717585,0.0,0.025673940949935817,0.05648267008985879,0,0,144,75,163,203,0.12965340179717585,5.562733289671964,2.1649569067657954,0.006309148264984227,105,unknown,1,2,0,8.333333333333334,unknown,1,unknown
mbedtls_poly1305_init,000488a0,mips,gcc,O2,1,1,0,0,1,1,2,1,1,1.0,6.0,0,2,6,2.0020937517392206,0.1,2,0,0.3,0.0,0.1,0.0,0.0,0.1,0,0,16,1,3,3,0.1,4.001629167387823,2.046439344671015,0.3333333333333333,5,unknown,0,1,1,0.0,unknown,1,unknown
mbedtls_poly1305_free,000488b8,mips,gcc,O2,1,1,0,0,3,3,2,1,1,0.3333333333333333,3.0,1,4,9,1.2187787039943916,0.13675213675213674,12,0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,0.045454545454545456,0,0,16,3,5,4,0.09090909090909091,3.91203020935497,2.40400975732486,0.2222222222222222,8,unknown,1,2,1,0.0,unknown,1,unknown
mbedtls_poly1305_starts,000488dc,mips,gcc,O2,1,1,0,0,1,1,2,1,1,1.0,139.0,0,2,139,1.6875662681265726,0.3640661938534279,186,0,0.14657210401891252,0.21513002364066194,0.1111111111111111,0.0,0.06619385342789598,0.14893617021276595,0,0,56,154,280,118,0.1111111111111111,5.5580976615219715,3.1723516255736475,0.014388489208633094,63,unknown,0,1,1,0.0,unknown,1,unknown
mbedtls_poly1305_update,00048b08,mips,gcc,O2,1,1,0,0,14,22,10,5,5,0.22727272727272727,7.0,2,16,98,1.2769456992795967,0.17499325965113335,190,8,0.22641509433962265,0.1320754716981132,0.13962264150943396,0.0,0.0,0.007547169811320755,0,0,56,37,41,61,0.13962264150943396,5.433877718630317,2.435441486270133,0.10204081632653061,67,unknown,6,16,5,0.45454545454545453,unknown,1,unknown
mbedtls_poly1305_finish,00048c90,mips,gcc,O2,1,1,0,0,4,6,4,2,2,0.3333333333333333,33.0,1,6,132,1.419304372634051,0.14694922408011285,138,2,0.20198675496688742,0.18543046357615894,0.11589403973509933,0.0,0.026490066225165563,0.08940397350993377,0,0,40,83,137,79,0.11589403973509933,5.550213195052102,2.9128835766632832,0.030303030303030304,81,unknown,1,5,2,0.5,unknown,1,unknown
mbedtls_poly1305_mac,00048ea0,mips,gcc,O2,1,1,0,0,6,14,10,7,7,0.5,11.0,2,13,66,1.4790189382514203,0.1529759430688223,138,8,0.20603015075376885,0.1306532663316583,0.17587939698492464,0.0,0.0,0.005025125628140704,0,0,136,27,29,41,0.17587939698492464,5.20440003654174,2.3826990810210766,0.15151515151515152,31,unknown,3,11,7,1.2142857142857142,unknown,1,unknown
FUN_00048fa8,00048fa8,mips,gcc,O2,1,1,0,0,4,4,2,1,1,0.25,12.0,1,4,48,1.1333223805939276,0.3390810276679842,122,0,0.2046783625730994,0.07602339181286549,0.1695906432748538,0.005847953216374269,0.0,0.005847953216374269,0,0,48,14,17,35,0.1695906432748538,4.948970902203909,2.046141022457498,0.041666666666666664,28,unknown,1,3,1,1.5,unknown,1,unknown
FUN_00049068,00049068,mips,gcc,O2,1,1,0,0,80,120,42,27,27,0.225,3.3125,11,80,265,0.9008758580925159,0.42400739885114885,218,40,0.07883817427385892,0.23858921161825727,0.01037344398340249,0.016597510373443983,0.0,0.12448132780082988,0,0,16,175,303,38,0.01037344398340249,5.1246765169569,2.7328603812255485,0.15849056603773584,127,unknown,51,69,27,0.425,unknown,1,unknown
